Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
2,141,Seperate,0.1,0.007943282347242812,1,0.5278674480000518
2,142,Seperate,0.1,0.006309573444801929,0,0.4569411019999734
2,143,Seperate,0.1,0.007943282347242812,1,0.5558815379999942
2,144,Seperate,0.1,0.006309573444801929,0,99
2,145,Seperate_null,0.1,0.00794328234724281,0,99
2,146,Seperate_null,0.1,0.009999999999999995,1,0.5226919120000275
2,147,Seperate,0.1,0.007943282347242812,0,0.2933504569999741
2,148,Seperate,0.1,0.009999999999999997,1,0.5846317150000004
2,149,Seperate,0.1,0.007943282347242812,1,0.4519015409999838
2,150,Seperate,0.1,0.006309573444801929,0,0.4158462479999798
2,151,Seperate,0.1,0.007943282347242812,0,0.25248775799991563
2,152,Seperate,0.1,0.009999999999999997,0,0.5527873310001041
2,153,Seperate,0.1,0.012589254117941668,0,0.41852676299993163
2,154,Seperate,0.1,0.01584893192461113,1,0.47000078099995335
2,155,Seperate,0.1,0.012589254117941668,1,0.47883079399991857
2,156,Seperate,0.1,0.009999999999999997,0,0.4260269749998997
2,157,Seperate,0.1,0.012589254117941668,0,0.3146009189999859
2,158,Seperate,0.1,0.01584893192461113,0,0.4221025890000192
2,159,Seperate_null,0.1,0.00794328234724281,1,0.3211094610001055
2,160,Seperate,0.1,0.019952623149688792,1,0.3800659349999478
2,161,Seperate,0.1,0.01584893192461113,1,0.4726387880000402
2,162,Seperate,0.1,0.012589254117941668,0,0.6376350530000536
2,163,Seperate,0.1,0.01584893192461113,1,0.47959159800007
2,164,Seperate,0.1,0.012589254117941668,0,0.45068702900005064
2,165,Seperate,0.1,0.01584893192461113,1,0.5305610569999999
2,166,Seperate,0.1,0.012589254117941668,0,0.7027953450000268
2,167,Seperate,0.1,0.01584893192461113,1,0.4575564479999912
2,168,Seperate,0.1,0.012589254117941668,1,0.5629773869999326
2,169,Seperate,0.1,0.009999999999999997,1,0.557773879000024
2,170,Seperate,0.1,0.007943282347242812,0,0.43246281099993666
2,171,Seperate,0.1,0.009999999999999997,0,0.22746027100004085
2,172,Seperate,0.1,0.012589254117941668,1,0.46304235399998106
2,173,Seperate,0.1,0.009999999999999997,0,0.14674563999994916
2,174,Seperate,0.1,0.012589254117941668,0,0.2144948720000457
2,175,Seperate,0.1,0.01584893192461113,1,0.36330617700002676
2,176,Seperate,0.1,0.012589254117941668,0,0.17286966500000744
2,177,Seperate,0.1,0.01584893192461113,1,0.1526724310000418
2,178,Seperate,0.1,0.012589254117941668,0,0.2165899530000388
2,179,Seperate,0.1,0.01584893192461113,1,0.42018886400001065
2,180,Seperate,0.1,0.012589254117941668,0,0.38420680199999424
2,181,Seperate_null,0.1,0.0063095734448019285,1,0.17076062200010256
2,182,Seperate,0.1,0.01584893192461113,0,0.22253874900002302
2,183,Seperate,0.1,0.019952623149688792,1,0.265842154999973
2,184,Seperate,0.1,0.01584893192461113,1,0.4219869529999869
2,185,Seperate,0.1,0.012589254117941668,0,0.4265758609999466
2,186,Seperate,0.1,0.01584893192461113,1,0.3489265329999398
2,187,Seperate,0.1,0.012589254117941668,0,0.5040614980000555
2,188,Seperate,0.1,0.01584893192461113,1,0.3528765660000772
2,189,Seperate,0.1,0.012589254117941668,1,0.5319629859999395
2,190,Seperate,0.1,0.009999999999999997,0,0.4474821060000522
2,191,Seperate,0.1,0.012589254117941668,0,0.36020149000000856
2,192,Seperate,0.1,0.01584893192461113,1,0.34717467999996643
2,193,Seperate,0.1,0.012589254117941668,0,0.3178665789999968
2,194,Seperate,0.1,0.01584893192461113,1,0.2578693049999856
2,195,Seperate,0.1,0.012589254117941668,0,0.34945222099997864
2,196,Seperate,0.1,0.01584893192461113,0,0.36073126999997385
2,197,Seperate_null,0.1,0.005011872336272719,1,0.32545416100003877
2,198,Seperate_null,0.1,0.00398107170553497,0,0.36930574900009105
2,199,Seperate_null,0.1,0.00501187233627272,1,0.2267820039999151
